央视,#genre#
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225501/01.m3u8?fmt=ts2hls
CCTV2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225500/01.m3u8?fmt=ts2hls
CCTV3,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226256/01.m3u8?fmt=ts2hls
CCTV4,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226348/01.m3u8?fmt=ts2hls
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226259/01.m3u8?fmt=ts2hls
CCTV6,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226255/01.m3u8?fmt=ts2hls
CCTV7,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225499/01.m3u8?fmt=ts2hls
CCTV8,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226258/01.m3u8?fmt=ts2hls
CCTV9,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226357/01.m3u8?fmt=ts2hls
CCTV10,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225496/01.m3u8?fmt=ts2hls
CCTV11,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226349/01.m3u8?fmt=ts2hls
CCTV12,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225495/01.m3u8?fmt=ts2hls
CCTV13,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226329/01.m3u8?fmt=ts2hls
CCTV14,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225494/01.m3u8?fmt=ts2hls
CCTV15,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226332/01.m3u8?fmt=ts2hls
CCTV16,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226230/01.m3u8
CCTV17,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226335/01.m3u8?fmt=ts2hls
CCTV4美洲,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226366/01.m3u8?fmt=ts2hls
CCTV4欧洲,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226361/01.m3u8?fmt=ts2hls
CCTV5+,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226354/01.m3u8?fmt=ts2hls
兵器科技,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226321/01.m3u8?fmt=ts2hls
第一剧场,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226284/01.m3u8?fmt=ts2hls
电视指南,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226359/01.m3u8?fmt=ts2hls
风云剧场,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226315/01.m3u8?fmt=ts2hls
风云音乐,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226287/01.m3u8?fmt=ts2hls
风云足球,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226302/01.m3u8?fmt=ts2hls
高尔夫网球,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226299/01.m3u8?fmt=ts2hls
怀旧剧场,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226318/01.m3u8?fmt=ts2hls
女性时尚,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226293/01.m3u8?fmt=ts2hls
世界地理,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226290/01.m3u8?fmt=ts2hls
央视台球,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226339/01.m3u8?fmt=ts2hls
央视文化精品,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226296/01.m3u8?fmt=ts2hls
CETV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225917/01.m3u8?fmt=ts2hls
CETV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225563/01.m3u8?fmt=ts2hls
CETV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225661/01.m3u8
CETV2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226242/01.m3u8
CETV2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226350/01.m3u8?fmt=ts2hls
CETV4,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225937/01.m3u8
CETV4,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225969/01.m3u8?fmt=ts2hls
